

0,a, b,c
0.02,a, b,c
0.12,a, b,c
0.22,a, b,c
0.2325621,a, b,c
0.2452903,a, b,c
0.2817065,a, b,c
0.3006156,a, b,c
0.3131241,a, b,c
0.3244638,a, b,c
0.3442803,a, b,c
0.3552813,a, b,c
0.3642808,a, b,c
0.3736816,a, b,c
0.3813076,a, b,c
0.389739,a, b,c
0.4004521,a, b,c
0.4113614,a, b,c
0.4246344,a, b,c
0.4335101,a, b,c
0.4439058,a, b,c
0.4567791,a, b,c
0.4662693,a, b,c
0.477208,a, b,c
0.4885711,a, b,c
0.4999347,a, b,c
0.5106722,a, b,c
0.5219015,a, b,c
0.5333323,a, b,c
0.5440832,a, b,c
0.5555859,a, b,c
0.5664335,a, b,c
0.5776264,a, b,c
0.5886448,a, b,c
0.5993961,a, b,c
0.6113347,a, b,c
0.6251566,a, b,c
0.6339407,a, b,c
0.6443632,a, b,c
0.6562098,a, b,c
0.6678478,a, b,c
0.6791535,a, b,c
0.6890409,a, b,c
0.7013747,a, b,c
0.711201,a, b,c
0.7224061,a, b,c
0.7338748,a, b,c
0.7445592,a, b,c
0.7556874,a, b,c
0.7674275,a, b,c
0.7789957,a, b,c
0.7888095,a, b,c
0.8001261,a, b,c
0.8113528,a, b,c
0.8227851,a, b,c
0.8335037,a, b,c
0.8445993,a, b,c
0.8553587,a, b,c
0.8667432,a, b,c
0.8776281,a, b,c
0.8887665,a, b,c
0.8998285,a, b,c
0.9113731,a, b,c
0.9233253,a, b,c
0.9352029,a, b,c
0.9460028,a, b,c
0.9584298,a, b,c
0.9702331,a, b,c
0.9842727,a, b,c
0.9950146,a, b,c
1.005025,a, b,c
1.016395,a, b,c
1.02748,a, b,c
1.03899,a, b,c
1.049222,a, b,c
1.061174,a, b,c
1.071965,a, b,c
1.082384,a, b,c
1.093767,a, b,c
1.104577,a, b,c
1.116352,a, b,c
1.130182,a, b,c
1.139372,a, b,c
1.149252,a, b,c
1.160407,a, b,c
1.171674,a, b,c
1.18313,a, b,c
1.193643,a, b,c
1.205086,a, b,c
1.215985,a, b,c
1.226429,a, b,c
1.237912,a, b,c
1.248954,a, b,c
1.259818,a, b,c
1.270888,a, b,c
1.29278,a, b,c
1.303429,a, b,c
1.310566,a, b,c
1.321301,a, b,c
1.332799,a, b,c
1.34341,a, b,c
1.394311,a, b,c
